EVENT TITLE,EVENT DOMAIN,EVENT TYPE
A hands-on session on cloud computing,Cloud Computing,Training
A hands-on session on security,Security,Training
A hands-on session on security,Security,Workshop
A hands-on session on software architecture,Software Architecture,Workshop
A hands-on session on software architecture,Software Architecture,Training
A talk session on Management,Management,Talk
A course on management,Management,Courses
Management courses for interested employees,Management,Courses
People interested in management can attend this workshop,Management,Workshop
Webinar on management for interested employees,Management,Webinars
Management workshop will be conducted soon,Management,Workshop
This is to notify the employees about the management  expo,Management,Expo
Management expo in our company,Management,Expo
Software Architecture expo in our company,Software Architecture,Expo
This is to notify the employees about the blockchain expo,Blockchain,Expo
This is to notify the employees about the Cloud computing expo,Cloud Computing,Expo
This is to notify the employees about the Security expo,Security,Expo
complete all machine learning courses,Machine Learning,Courses
complete all blockchain courses,Blockchain,Courses
complete all cloud computing courses,Cloud Computing,Courses
complete all networking courses,Networking,Courses
Complete all software architecture courses,Software Architecture,Courses
Complete all security courses,Security,Courses
Complete the first week to earn scholarship C certification by PJPJ,C,Certification
Complete the first week to earn scholarship for C++ certification by PJPJ,C++,Certification
Complete the first week to earn scholarship for Networking certification by PJPJ,Networking,Certification
Complete the first week to earn scholarship for Software architecture certification by PJPJ,Software Architecture,Certification
Complete the first week to earn scholarship for Cloud computing certification by PJPJ,Cloud Computing,Certification
Internship opportunity for C programmers,C,Internship
Internship opportunity for C++ programmers,C++,Internship
Internship opportunity for java programmers,Java,Internship
Internship opportunity in machine learning,Machine Learning,Internship
Internship opportunity in data science,Data Science,Internship
Internship opportunity in security,Security,Internship
Internship opportunity in networking,Networking,Internship
Internship opportunity in Cloud computing,Cloud Computing,Internship
Internship in management available now,Management,Internship
